sku,model
LC1000MT,Brother DCP550CJ
LC1000RBWBP,Brother DCP550CJ
LC1000VALBP,Brother DCP550CJ
LC1000VALBPRF,Brother DCP550CJ
LC1000Y,Brother DCP550CJ
LC1000YT,Brother DCP550CJ
LC1000BK,Brother DCP560CN
LC1000BK-PR8,Brother DCP560CN
LC1000BKBP2,Brother DCP560CN
LC1000BT,Brother DCP560CN
LC1000C,Brother DCP560CN
LC1000CT,Brother DCP560CN
LC1000M,Brother DCP560CN
LC1000MT,Brother DCP560CN
LC1000RBWBP,Brother DCP560CN
LC1000VALBP,Brother DCP560CN
LC1000VALBPRF,Brother DCP560CN
LC1000Y,Brother DCP560CN
LC1000YT,Brother DCP560CN
LC1100BK,Brother DCP585CW
LC1100BKBP2,Brother DCP585CW
LC1100BKBPRF,Brother DCP585CW
LC1100BKT,Brother DCP585CW
